X,Y,ID,Case_Number,Address,Occurred_Date,Occurred_Month,Occurred_Year,Crime_Type,Multiple_Shooting,Gender,Race,Ethnicity,Victim_Age,Victim_Age_Band,Latitude,Longitude,ObjectId
-77.62532979,43.14524975,43391e20c8625ee503a7656534ed164b,13-131625,190 Reynolds St,2013/05/16 04:00:00+00,5,2013,Shooting,No,M,BLACK,NON HISPANIC,24,15-24,43.14524975,-77.62532979,2157
-77.64213716,43.16541624,d50d587dec1bdacbb619ed7308a38257,13-129168,284 Murray St,2013/05/14 04:00:00+00,5,2013,Shooting,No,M,BLACK,NON HISPANIC,50,45-Older,43.16541624,-77.64213716,2158
-77.63733587,43.15194049,396e931bb128c3e3b34ce4d74a0e9a95,13-129252,90 York St,2013/05/14 04:00:00+00,5,2013,Homicide,Yes,F,BLACK,NON HISPANIC,20,15-24,43.15194049,-77.63733587,2159
-77.63733587,43.15194049,938cd0f0259e3516082c60472cf58916,13-129252,90 York St,2013/05/14 04:00:00+00,5,2013,Shooting,Yes,F,BLACK,NON HISPANIC,23,15-24,43.15194049,-77.63733587,2160
-77.63733587,43.15194049,1dbf3b695865f6d3c9915d27c362feaa,13-129252,90 York St,2013/05/14 04:00:00+00,5,2013,Shooting,Yes,M,BLACK,NON HISPANIC,21,15-24,43.15194049,-77.63733587,2161
-77.61349844,43.18607316,7eb7f2c3db94536fbf7b23b9c3394ed4,13-128120,1430 N Clinton Av,2013/05/13 04:00:00+00,5,2013,Shooting,No,M,BLACK,NON HISPANIC,23,15-24,43.18607316,-77.61349844,2162
-77.59285648,43.16913302,21623985097eaf8ad919670a4e21340c,13-128210,666 Scio St,2013/05/13 04:00:00+00,5,2013,Shooting,No,M,BLACK,NON HISPANIC,15,15-24,43.16913302,-77.59285648,2163
-77.59971664,43.18383533,f8c8ff8c9db4d608d7106c6ee6b8c72a,13-127113,385 Weaver St,2013/05/12 04:00:00+00,5,2013,Shooting,No,M,BLACK,NON HISPANIC,21,15-24,43.18383533,-77.59971664,2164
-77.61331534,43.17316915,6a83120e376f4ad7ab1e7a361c146d80,13-126261,133 Scrantom St,2013/05/11 04:00:00+00,5,2013,Shooting,No,M,WHITE,HISPANIC,45,45-Older,43.17316915,-77.61331534,2165
-77.58855327,43.18062826,c8a7166737ef417f5f2cc4e84f8d2e18,13-110203,100 Holbrooke St,2013/04/27 04:00:00+00,4,2013,Shooting,No,M,WHITE,HISPANIC,32,25-44,43.18062826,-77.58855327,2166
-77.62829091,43.14358507,f61a215ac861e5656696c120b62a839d,13-106933,343 Frost Av,2013/04/23 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,29,25-44,43.14358507,-77.62829091,2167
-77.58203326,43.167056,3a96e5d76ca1000b9e4a265a75b0bff2,13-106958,9 Short St,2013/04/23 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,37,25-44,43.167056,-77.58203326,2168
-77.62814481,43.15956799,df3677f70ba8984d370ff03bc69427be,13-107051,304 Jay St,2013/04/23 04:00:00+00,4,2013,Shooting,Yes,M,BLACK,NON HISPANIC,28,25-44,43.15956799,-77.62814481,2169
-77.62814481,43.15956799,d9ee97dc4a7a1f72e83f5e96817e424c,13-107051,304 Jay St,2013/04/23 04:00:00+00,4,2013,Shooting,Yes,M,BLACK,NON HISPANIC,27,25-44,43.15956799,-77.62814481,2170
-77.62814481,43.15956799,99d12e9171dfa380b6e7e3cf47f260a9,13-107051,304 Jay St,2013/04/23 04:00:00+00,4,2013,Shooting,Yes,M,BLACK,NON HISPANIC,19,15-24,43.15956799,-77.62814481,2171
-77.63669003,43.14369182,dbff4279d7143685ee357156d7f76a4a,13-105678,641 Frost Av,2013/04/22 04:00:00+00,4,2013,Shooting,No,F,BLACK,UNKNOWN,49,45-Older,43.14369182,-77.63669003,2172
-77.63709957,43.15724885,d1698500cc12ee2cd65a4c2059a0e35f,13-104602,347 Campbell St,2013/04/21 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,22,15-24,43.15724885,-77.63709957,2173
-77.64160181,43.16661999,7285ca40521baa5e90463d5aa18137a5,13-103401,91 Myrtle St,2013/04/20 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,19,15-24,43.16661999,-77.64160181,2174
-77.62928264,43.14323189,017ce6676c05f7ffdda96e31699506b9,13-101380,11 Iceland Pk,2013/04/18 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,34,25-44,43.14323189,-77.62928264,2175
-77.59417354,43.17089357,4b4ebc72aa10fc167505d47e892f105e,13-101447,8 Bay St,2013/04/18 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,19,15-24,43.17089357,-77.59417354,2176
-77.63090708,43.1756791,8cf12c1b999e5d435a198c8b1bae3c9c,13-101808,66 Ravine Av,2013/04/18 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,32,25-44,43.1756791,-77.63090708,2177
-77.63660068,43.16642478,9d628c82209798283ebfd212590ed8c4,13-101856,94 Sherman St,2013/04/18 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,18,15-24,43.16642478,-77.63660068,2178
-77.60782308,43.18125172,56609880325c1b10a278f56b4d9b2c87,13-098560,892 Joseph Av,2013/04/15 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,24,15-24,43.18125172,-77.60782308,2179
-77.6343106,43.16081243,d9cfb574f7d1e1f764096824e32675fa,13-099243,736 Smith St,2013/04/15 04:00:00+00,4,2013,Shooting,No,M,WHITE,HISPANIC,20,15-24,43.16081243,-77.6343106,2180
-77.59840145,43.18431798,b2d461acfdb0f05bc9c095b63e53bac9,13-096666,33 Sobieski St,2013/04/13 04:00:00+00,4,2013,Shooting,No,M,WHITE,HISPANIC,31,25-44,43.18431798,-77.59840145,2181
-77.62683057,43.15081966,e9f89bf1fc4847fca88b50654a1aa115,13-096839,34 Reynolds St,2013/04/13 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,29,25-44,43.15081966,-77.62683057,2182
-77.62683057,43.15081966,6b0f360660280fa7b3a22fac6c7db635,13-093655,34 Reynolds St,2013/04/10 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,26,25-44,43.15081966,-77.62683057,2183
-77.63574701,43.13953321,fa452db9447f16147fe04b838ba0a578,13-093023,534 Genesee St,2013/04/09 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,22,15-24,43.13953321,-77.63574701,2184
-77.61239804,43.17252824,6fd7b73c7aece66e1197d4d083b28413,13-091471,772 N Clinton Av,2013/04/08 04:00:00+00,4,2013,Shooting,No,M,BLACK,NON HISPANIC,28,25-44,43.17252824,-77.61239804,2185
-77.60947197,43.17876993,36d6054b6e7cb3ec8b1f6fc908304802,13-083219,39 Seabrook St,2013/03/30 04:00:00+00,3,2013,Shooting,No,M,BLACK,NON HISPANIC,25,25-44,43.17876993,-77.60947197,2186
-77.61353961,43.18385511,c42ef55d4529dff2c1be334440209448,13-081888,1322 N Clinton Av,2013/03/28 04:00:00+00,3,2013,Shooting,No,M,BLACK,NON HISPANIC,31,25-44,43.18385511,-77.61353961,2187
-77.62348004,43.18032108,9927b8b7ce76b2801720149e0a439c7c,13-080653,54 Ave D,2013/03/27 04:00:00+00,3,2013,Shooting,No,M,BLACK,NON HISPANIC,20,15-24,43.18032108,-77.62348004,2188
-77.65181788,43.14352611,1de9a6f2bf5509b5b4f5a95beaec5871,13-079809,160 Salina St,2013/03/26 04:00:00+00,3,2013,Shooting,No,M,BLACK,NON HISPANIC,22,15-24,43.14352611,-77.65181788,2189
-77.61980023,43.18014565,6932a498b72016548dbd81a2b57d329f,13-078406,340 Conkey Av ,2013/03/25 04:00:00+00,3,2013,Shooting,No,M,WHITE,HISPANIC,16,15-24,43.18014565,-77.61980023,2190
-77.65314333,43.14522169,e219944ea097e0c1a441037e23bebe66,13-077871,228 Depew St,2013/03/24 04:00:00+00,3,2013,Shooting,Yes,M,BLACK,NON HISPANIC,20,15-24,43.14522169,-77.65314333,2191
-77.65314333,43.14522169,32485b094d1de55336054a39835633ba,13-077871,228 Depew St,2013/03/24 04:00:00+00,3,2013,Shooting,Yes,M,BLACK,NON HISPANIC,22,15-24,43.14522169,-77.65314333,2192
-77.65314333,43.14522169,1e640e761b2b7f8c968d8e6b9ad05802,13-076840,228 Depew St,2013/03/23 04:00:00+00,3,2013,Homicide,No,M,BLACK,NON HISPANIC,36,25-44,43.14522169,-77.65314333,2193
-77.56976818,43.17616619,4799d910da24cf5afb453b738a15a6ee,13-074857,1938 Clifford Av,2013/03/21 04:00:00+00,3,2013,Shooting,No,M,BLACK,NON HISPANIC,25,25-44,43.17616619,-77.56976818,2194
-77.62012728,43.17918422,7337b7b74be58b332dc81b08cb0e0c88,12-048028,293 Conkey Ave,2012/02/12 05:00:00+00,2,2012,Shooting,Yes,M,BLACK,NON HISPANIC,20,15-24,43.17918422,-77.62012728,2195
-77.64568545,43.16969728,95f686aa9fe2c2d048b69a18afd5ae08,13-068870,29 Sterling St,2013/03/15 04:00:00+00,3,2013,Shooting,No,M,ASIAN,NON HISPANIC,22,15-24,43.16969728,-77.64568545,2196
-77.61981522,43.14558782,5acdbb25c2686419568cb75247bbbb52,13-066056,20 Lundsford Ln,2013/03/12 04:00:00+00,3,2013,Shooting,No,M,BLACK,NON HISPANIC,22,15-24,43.14558782,-77.61981522,2197
-77.59961781,43.18362614,7c9c2ee3ec511ef3207ac5b522d48cf9,13-064388,1005 Hudson Av ,2013/03/10 05:00:00+00,3,2013,Shooting,No,M,BLACK,NON HISPANIC,20,15-24,43.18362614,-77.59961781,2198
-77.58054217,43.17334591,3159ed6d89595c43c9cf10fadb89a773,13-057105,51 High St,2013/03/03 05:00:00+00,3,2013,Shooting,No,M,BLACK,NON HISPANIC,28,25-44,43.17334591,-77.58054217,2199
-77.59842479,43.18225213,0833ccaf59f7b5c72caae174a21952b9,13-054964,24 Durnan St,2013/02/28 05:00:00+00,2,2013,Shooting,No,M,BLACK,NON HISPANIC,20,15-24,43.18225213,-77.59842479,2200
-77.58124509,43.1708525,5ff9d95393251fe13fbbf4e00d57b34b,13-053884,469 Bay St,2013/02/27 05:00:00+00,2,2013,Shooting,No,M,BLACK,NON HISPANIC,31,25-44,43.1708525,-77.58124509,2201
-77.58718216,43.16676514,ec72104c4aeaa8a330aa1cebb14e9d6f,13-051929,17 2Nd St,2013/02/25 05:00:00+00,2,2013,Homicide,No,M,BLACK,NON HISPANIC,31,25-44,43.16676514,-77.58718216,2202
-77.65188608,43.14525262,b8b9b75412d3316a9ed3f374c17262b9,13-049223,574 Chili Av,2013/02/22 05:00:00+00,2,2013,Shooting,No,M,BLACK,NON HISPANIC,25,25-44,43.14525262,-77.65188608,2203
-77.62886649,43.14331857,b147962e6b3e717cf66d62cb8bca8a79,13-036764,582 Jefferson Ave,2013/02/08 05:00:00+00,2,2013,Shooting,No,M,BLACK,NON HISPANIC,26,25-44,43.14331857,-77.62886649,2204
-77.62441794,43.1791248,1a49d2e43ab47af28b27783631006233,13-035552,19 Avenue C,2013/02/07 05:00:00+00,2,2013,Shooting,No,M,WHITE,HISPANIC,19,15-24,43.1791248,-77.62441794,2205
-77.53834482,43.16579556,f9580798ca485ec034661482c1881de5,13-034552,225 Tryon Pk,2013/02/06 05:00:00+00,2,2013,Homicide,No,F,ASIAN,NON HISPANIC,73,45-Older,43.16579556,-77.53834482,2206
-77.6012944,43.17778126,d9a393be40a349fb121594b5783523eb,13-027917,119 Friederich Pk,2013/01/30 05:00:00+00,1,2013,Shooting,No,M,BLACK,NON HISPANIC,20,15-24,43.17778126,-77.6012944,2207
-77.62265998,43.14296726,28a0860cad31c1be2543a70f4de9fc70,13-027050,52 Bartlett St,2013/01/29 05:00:00+00,1,2013,Homicide,No,M,BLACK,NON HISPANIC,48,45-Older,43.14296726,-77.62265998,2208
-77.6390789,43.17907891,0333b455d9b70165f050cd974e874473,13-023647,353 Lexington Ave,2013/01/25 05:00:00+00,1,2013,Shooting,No,M,BLACK,NON HISPANIC,17,15-24,43.17907891,-77.6390789,2209
-77.57960966,43.16726125,3f10f39b37143289de41d0dd2ea507c8,13-022067,44 Diringer Pl,2013/01/23 05:00:00+00,1,2013,Shooting,No,M,BLACK,NON HISPANIC,21,15-24,43.16726125,-77.57960966,2210
-77.62427176,43.16324265,7c0d32b5dccdbe1208c01d4170a4b398,13-017630,580 N. Plymouth Ave,2013/01/18 05:00:00+00,1,2013,Shooting,No,M,BLACK,NON HISPANIC,36,25-44,43.16324265,-77.62427176,2211
-77.63655393,43.16453222,011159d8a5fd085c299b67d532800e97,13-015654,413 Lyell Ave,2013/01/17 05:00:00+00,1,2013,Shooting,No,M,BLACK,NON HISPANIC,17,15-24,43.16453222,-77.63655393,2212
